time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-02 00:00:00+00:00,1,1,0,0
2023-09-03 00:00:00+00:00,1,1,0,0
2023-09-04 00:00:00+00:00,1,1,0,0
2023-09-05 00:00:00+00:00,3,1,15,1
2023-09-06 00:00:00+00:00,1,1,0,0
2023-09-07 00:00:00+00:00,1,1,0,0
2023-09-08 00:00:00+00:00,1,1,0,0
2023-09-09 00:00:00+00:00,1,1,0,0
2023-09-10 00:00:00+00:00,1,1,0,0
2023-09-11 00:00:00+00:00,1,1,11,1
2023-09-12 00:00:00+00:00,9,4,128,5
2023-09-13 00:00:00+00:00,1,1,0,0
2023-09-14 00:00:00+00:00,2,2,5,3
2023-09-15 00:00:00+00:00,1,1,42,2
2023-09-16 00:00:00+00:00,1,1,3,1
2023-09-17 00:00:00+00:00,2,1,0,0
2023-09-18 00:00:00+00:00,0,0,2,2
2023-09-19 00:00:00+00:00,1,1,1,1
2023-09-20 00:00:00+00:00,1,1,1,1
2023-09-22 00:00:00+00:00,1,1,22,1
2023-09-23 00:00:00+00:00,1,1,28,1
2023-09-25 00:00:00+00:00,2,1,18,4
2023-09-26 00:00:00+00:00,4,4,38,5
2023-09-27 00:00:00+00:00,0,0,6,4
2023-09-29 00:00:00+00:00,0,0,44,2
2023-10-02 00:00:00+00:00,0,0,23,2
2023-10-04 00:00:00+00:00,0,0,7,1
2023-10-05 00:00:00+00:00,1,1,0,0
2023-10-06 00:00:00+00:00,0,0,1,1
2023-10-08 00:00:00+00:00,2,1,0,0
2023-10-10 00:00:00+00:00,2,1,0,0
2023-10-11 00:00:00+00:00,5,2,10,1
2023-10-12 00:00:00+00:00,0,0,33,8
2023-10-13 00:00:00+00:00,0,0,3,3
2023-10-14 00:00:00+00:00,0,0,1,1
2023-10-16 00:00:00+00:00,1,1,8,3
2023-10-19 00:00:00+00:00,0,0,108,5
2023-10-20 00:00:00+00:00,1,1,0,0
2023-10-22 00:00:00+00:00,0,0,5,2
2023-10-23 00:00:00+00:00,2,1,0,0
2023-10-24 00:00:00+00:00,2,2,3,2
2023-10-25 00:00:00+00:00,1,1,1,1
2023-10-26 00:00:00+00:00,2,2,30,2
2023-10-27 00:00:00+00:00,2,2,5,1
2023-10-28 00:00:00+00:00,1,1,0,0
2023-10-29 00:00:00+00:00,1,1,0,0
2023-10-30 00:00:00+00:00,1,1,7,4
2023-10-31 00:00:00+00:00,1,1,21,7
2023-11-01 00:00:00+00:00,3,2,4,2
2023-11-02 00:00:00+00:00,1,1,1,1
2023-11-03 00:00:00+00:00,2,2,15,3
2023-11-04 00:00:00+00:00,1,1,4,2
2023-11-05 00:00:00+00:00,2,2,10,3
2023-11-06 00:00:00+00:00,1,1,5,3
2023-11-07 00:00:00+00:00,1,1,19,2
2023-11-08 00:00:00+00:00,2,2,18,3
2023-11-09 00:00:00+00:00,0,0,6,2
2023-11-10 00:00:00+00:00,0,0,56,4
2023-11-11 00:00:00+00:00,0,0,5,2
2023-11-12 00:00:00+00:00,0,0,9,2
2023-11-13 00:00:00+00:00,1,1,52,3
2023-11-14 00:00:00+00:00,0,0,11,4
2023-11-15 00:00:00+00:00,0,0,11,4
2023-11-16 00:00:00+00:00,2,2,156,3
2023-11-17 00:00:00+00:00,0,0,3,1
2023-11-19 00:00:00+00:00,0,0,4,1
2023-11-20 00:00:00+00:00,0,0,2,1
2023-11-21 00:00:00+00:00,0,0,24,3
2023-11-22 00:00:00+00:00,0,0,1,1
