time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-30 00:00:00+00:00,4,4,1,1
2024-07-31 00:00:00+00:00,5,4,0,0
2024-08-01 00:00:00+00:00,10,3,1,1
2024-08-02 00:00:00+00:00,0,0,1,1
2024-08-03 00:00:00+00:00,68,5,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,3,2,66,1
2024-08-06 00:00:00+00:00,1,1,52,5
2024-08-07 00:00:00+00:00,19,2,57,4
2024-08-08 00:00:00+00:00,0,0,2,1
2024-08-12 00:00:00+00:00,117,5,42,2
2024-08-15 00:00:00+00:00,35,4,64,3
2024-08-16 00:00:00+00:00,0,0,1,1
2024-08-17 00:00:00+00:00,0,0,2,1
2024-08-19 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,0,0,34,2
2024-08-22 00:00:00+00:00,0,0,1,1
2024-08-23 00:00:00+00:00,1,1,6,1
2024-08-24 00:00:00+00:00,0,0,1,1
2024-08-27 00:00:00+00:00,0,0,37,2
2024-08-28 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,0,0,9,4
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-04 00:00:00+00:00,1,1,0,0
2024-09-05 00:00:00+00:00,0,0,1,1
